provnum	stabbrev	deaths_per_bed	nh_covid_deaths	bedcert	tract_density	tract_housing_density	tract_pt_share_u50k	tract_pt_share	tract_pt_share_hc	tract_pov_share	tract_med_income	tract_white_share	tract_black_share	tract_white_nh_share	tract_share_frontline	tract_data	tract_share_nonwhite	tract_pred_nh_pt_share
"056096"	"CA"	0	0	94	13015.43	2.741792	.155979	.1729152	.1053882	.1505668	39485.91	.4371175	.1449343	.3254919	.2618715	1	.5628824	.1404493
"056348"	"CA"	0	0	180	11279.83	2.852654	.1201186	.1427008	.0918581	.154351	40870.13	.4647469	.1094853	.3359248	.2665606	1	.5352532	.1274868
"056392"	"CA"	0	0	139	6169.618	2.96021	.0472768	.0733913	.1029015	.0742256	49704.04	.5585595	.0437384	.4144809	.2473529	1	.4414405	.0700591
"555082"	"CA"	0	0	50	9279.913	2.920965	.0942431	.1152378	.1016731	.1037971	45735.4	.4945816	.0752778	.3759783	.2589157	1	.5054184	.0806179
"555399"	"CA"	0	0	37	6528.524	2.951913	.0444473	.0661736	.1024945	.084126	45692.56	.6350147	.0373741	.476772	.2490992	1	.3649853	.0686583
"555767"	"CA"	0	0	61	14358.07	2.97522	.1758458	.1848016	.1140161	.1723947	36517.79	.3737614	.1213497	.2692397	.2716327	1	.6262386	.1685518
"555113"	"CA"	0	0	35	12272.55	2.692617	.1328833	.1600663	.0995523	.1305014	44037.47	.4717569	.1157959	.3734801	.2507561	1	.5282431	.1398639
"555067"	"CA"	0	0	60	10766.58	2.786645	.1335171	.1563506	.1105649	.1390112	42648.45	.4735619	.1392832	.3655575	.2628802	1	.5264381	.136209
"555016"	"CA"	0	0	49	8191.669	3.028109	.0836747	.1100253	.0946872	.1008536	42016.42	.5063915	.0821673	.3628252	.28337	1	.4936085	.0621074
"055892"	"CA"	0	0	36	13369.12	2.763137	.1525224	.1709248	.1122477	.1672653	37755.59	.4411501	.1541999	.3310653	.2678856	1	.5588499	.1550295
"055434"	"CA"	0	0	75	8480.306	3.149852	.0713804	.0913906	.1010644	.1135805	40706.43	.4376141	.092731	.2697419	.2942856	1	.5623859	.0445687
"555872"	"CA"	0	0	49	13963.83	2.663174	.1516074	.1868723	.0973589	.1325502	42120.15	.4810511	.1308396	.389965	.2462664	1	.5189489	.1762875
"555842"	"CA"	0	0	25	9810.38	2.97875	.1126384	.1316429	.0961972	.1425474	39010.42	.3964003	.1190801	.2722446	.284917	1	.6035997	.0906823
"055156"	"CA"	0	0	43	12217.77	2.861632	.1158732	.1327247	.1033841	.1335817	42420.93	.4709087	.1000651	.3472352	.2597742	1	.5290912	.1004624
"555486"	"CA"	0	0	166	11279.83	2.852654	.1201186	.1427008	.0918581	.154351	40870.13	.4647469	.1094853	.3359248	.2665606	1	.5352532	.1274868
"055338"	"CA"	0	0	99	9027.27	3.074489	.074651	.0891781	.1110254	.1274959	38901.89	.422131	.111884	.256807	.2887943	1	.5778689	.0475668
"555358"	"CA"	0	0	140	14119.97	2.966384	.1451568	.1697344	.1128339	.1738757	34643.24	.3835956	.148002	.2488377	.2956967	1	.6164044	.1663241
"555895"	"CA"	0	0	73	7993.122	3.159939	.055718	.0782434	.0974531	.1024696	43545.59	.5032151	.0634647	.3556272	.2748944	1	.4967849	.0570097
"056280"	"CA"	0	0	94	14124.8	2.966495	.1526511	.1689261	.1192186	.1767251	35547.66	.3928566	.1343169	.2772063	.2798859	1	.6071434	.1463876
"056447"	"CA"	0	0	74	8480.306	3.149852	.0713804	.0913906	.1010644	.1135805	40706.43	.4376141	.092731	.2697419	.2942856	1	.5623859	.0445687
"555418"	"CA"	0	0	62	10891.05	3.232054	.0731842	.0877742	.099909	.132446	37686.39	.4286446	.0867076	.2511347	.3038839	1	.5713555	.0455538
"055715"	"CA"	0	0	60	13392.84	2.606497	.15496	.1919709	.1050738	.0962709	47234.34	.5484779	.0980331	.4411073	.2299586	1	.4515221	.1685198
"555843"	"CA"	0	0	125	9065.808	3.175565	.0695523	.0920542	.1194459	.088302	44414.71	.3838673	.0609702	.269006	.2758532	1	.6161327	.0568819
